study,study.type,study.info,study.symbol,N,r,d,var,IVs,DV,notes
"     Lange, Heise & Hoemann (2016)",replication,replication7,15,119,,-0.070945965,0.033636968,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Rentzsch, Nalis & Schütz (2016)",replication,replication7,15,120,,-0.059951787,0.033385387,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Cheung, Kroese, Fennis et al. (2016)",replication,replication7,15,203,,-0.032449177,0.019707505,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Yusainy, Wimbarti et al. (2016)",replication,replication7,15,196,,-0.028156988,0.020412311,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Hagger, Chatzisarantis et al. (2016)",replication,replication7,15,117,,0.044507495,0.0344,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Carruth & Miyake (2016),replication,replication7,15,178,,0.046665208,0.022489381,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Wolff, Muzzi & Brand (2016)",replication,replication7,15,105,,0.086357659,0.038161874,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Calvillo & Mills (2016),replication,replication7,15,124,,0.114850776,0.032344855,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Tinghög & Koppel (2016),replication,replication7,15,99,,0.116859548,0.040477134,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Schlinkert, Schrama & Koole (2016)",replication,replication7,15,103,,0.136631051,0.038929234,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Lynch, VanDellen & Campbell (2016)",replication,replication7,15,139,,0.151773185,0.028873249,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Elson (2016),replication,replication7,15,101,,0.176891286,0.039762747,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Birt & Muise (2016),replication,replication7,15,96,,0.177378489,0.041848629,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Ullrich, Primoceri & Schoch (2016)",replication,replication7,15,114,,0.270584621,0.035408842,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Ringos & Carlucci (2016),replication,replication7,15,95,,0.271378385,0.042497541,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Lau & Brewer (2016),replication,replication7,15,128,,0.323819457,0.031659606,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
