replication_type,replication_number,target_effect,original_authors_study_number,original_effect_size,replication_effect_size,replication_authors_study_number,replication_outcome,replication_outcome_bayesian,discipline,replication_method_differences,positive_control_evidence,IVs,DVs,other_outcomes,replication_open_materials_URL,replication_open_data_URL,replication_pre_reg_URL,original_study_article_URL,replication_study_article_URL,original_open_materials_URL,original_open_data_URL,original_pre_reg_URL,effect_description,design,effect_type,original_test_statistic,original_pvalue,original_N,replication_N,study_order_CS,RPP_study_number,Original_Article_Title
Reproducibility Project,11,"Ps believed confederate's expressions were happier than their private feelings, but only in vulnerable conditions. ",Lemay & Clark (2008a) Study 5,η²(N=186) = .028,η2(N=280) = .001,Baranski (2015),unsuccessful,,Social,,,,,,https://osf.io/ke43j/,https://osf.io/ke43j/,https://osf.io/efjn3/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,interaction,"F(1, 182) = 5.24",<.05,186,280,11,58,Walking on eggshells: How expressing relationship insecurities perpetuates them.
Reproducibility Project,12,Ps own responsiveness was a significant predictor of their perception of their partners' responsiveness. ,Lemay & Clark (2008b) Study 5,level 1 R²(N=153) = .68,b(N=216) = .72,"Marigold, Forest et al. (2015)",successful,,Social,,,,,,https://osf.io/h84qd/,https://osf.io/h84qd/,https://osf.io/mv3i7/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,multilevel model,regression,b = .68,<.001,153,216,12,59,How the head liberates the heart: Projection of communal responsiveness guides relationship promotion.
Reproducibility Project,13,Ps (college seniors) reminded they were experiencing their last day as students at graduation reported fewer mixed emotions than Ps not reminded. ,Ersner-Hershfield et al. (2008) Study 2,d(N=110) = +.45,d(N=222) = -.01,"Talhelm, Eggleston, & Lee (2015a)",unsuccessful,,Social,,,,,,https://osf.io/sq8k9/,https://osf.io/sq8k9/,https://osf.io/fw6hv/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,independent-samples t-test,main effect,t(108) = -2.34,<.05,110,222,13,61,Poignancy: Mixed emotional experience in the face of meaningful endings.
Reproducibility Project,14,Ps in use-race or avoid-race instruction conditions exhibited less 1/f noise (as reflected in PSD slopes) on WIT than Ps in a control condition. ,Correll (2008) Study 2,d(N=71) = +.59 ± .51,d(N=148) = +.16 ± .34,LeBel (2015) Study 1,unsuccessful,,Social,,,,,,https://osf.io/fejxb/,https://osf.io/fejxb/,https://osf.io/hzka3/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,between ANOVA using planned orthogonal contrasts,contrast,"F(1, 68) = 5.52",<.02,71,148,14,63,1/f noise and effort on implicit measures of bias.
Reproducibility Project,15,Aggression priming increased perceptions of aggression (assimilation effect) among Ps whose processing style induced to be global (or control) whereas aggression priming decreased perceptions of aggression (contrast affect) among Ps whose processing style induced to be local. ,"Forster, Liberman et al. (2008) Study 1",η²(N=82) = .362,η²(N=71) = .026,Reinhard (2015),unsuccessful,,Social,,,,,,https://osf.io/mxryb/,https://osf.io/mxryb/,https://osf.io/sxnu6/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,interaction,"F(2, 76) = 21.57",<.0001,82,71,15,64,The effect of global versus local processing styles on assimilation versus contrast in social judgment.
Reproducibility Project,16,Subtly asking Ps questions about their empathic understanding and capability of exhibiting similar transgressions reduced male (but not female) Ps' feelings of vengefulness. ,"Exline, Baumeister et al. (2008) Study 7",η²(N=45) = .186,η²(N=135) = .001,Lin & Frank (2015),unsuccessful,,Social,,,,,,https://osf.io/imrx2/,https://osf.io/imrx2/,https://osf.io/es7ub/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,interaction,"F(1, 41) = 9.40",<.01,45,135,16,65,Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?
Reproducibility Project,17,Tempting fate effect (tempting fate increases perceived likelihood of negative outcomes) amplified under cognitive load compared to a control condition. ,Risen & Gilovich (2008) Study 6,η²(N=122) = .035,η²(N=226) = .000,Mathur & Frank (2015),unsuccessful,,Social,,,,,,https://osf.io/sg3su/,https://osf.io/sg3su/,https://osf.io/nwua6/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,interaction,"F(1, 116) = 4.15",<.05,122,226,17,68,Why people are reluctant to tempt fate.
Reproducibility Project,18,"Ps recognized conveyed emotions as pride at an above chance level, no matter what culture target represented. ",Tracy & Robins (2008) Study 4,Av. Proportion(N=211) = .78,Av. proportion(N=333) = .77,Sullivan (2015),successful,,Social,,,,,,https://osf.io/qthf2/,https://osf.io/qthf2/,https://osf.io/9uqxr/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,binomial test,binomial test,X,<.05,211,333,18,69,The nonverbal expression of pride: Evidence for cross-cultural recognition.
Reproducibility Project,19,Ps correctly answering Wason's four-card selection task exhibited higher cognitive ability (SAT scores) than Ps answering card task incorrectly. ,Stanovich & West (2008) Study 8,d(N=375) = +.493,d(N=177) = +.15,Baranski (2015),unsuccessful,,Social,,,,,,https://osf.io/7ux8p/,https://osf.io/7ux8p/,https://osf.io/p3gz2/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,independent samples t-test,main effect,t(373) = 4.40,<.001,375,177,19,71,On the relative independence of thinking biases and cognitive ability.
Reproducibility Project,20,"Strong arguments more persuasive than weak arguments among Ps forced to focus on important values in the messages, but no argument strength effect among Ps forced to focus on unimportant values. ",Blankenship & Wegener (2008) Study 5a,η²(N=261) = .042,η²(N=251) = .002,Lemm (2015),unsuccessful,,Social,,,,,,https://osf.io/2gx4k/,https://osf.io/2gx4k/,https://osf.io/v3e2z/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,interaction,"F(1, 257) = 11.58",0.002,261,251,20,72,Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.
Reproducibility Project,21,Bumper stickers of descriptive deviants rated as more popular than bumper stickers of prescriptive deviants. ,Morrison & Miller (2008) Study 3,Φ (phi)(N=37) = .32,Φ (phi)(N=120) = .20,Motyl (2015),successful,,Social,,,,,,https://osf.io/nhwv5/,https://osf.io/nhwv5/,https://osf.io/2jwi6/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,Pearson's Chi-squared test,main effect,"X^2(1, N=37) = 3.85",<.05,37,120,21,73,Distinguishing between silent and vocal minorities: Not all deviants feel marginal.
Reproducibility Project,22,"Increased donations to HIV/AIDS initiative when emphasizing ""to-date"" information among Ps who hadn't yet donated, but emphasizing ""to-go"" information among Ps who had. ",Koo & Fishbach (2008) Study 4,η²(N=246) = .041,OR(N=768703) = .159,Kidwell & Dodson (2015),unsuccessful,,Social,,,,,,https://osf.io/nr7d9/,https://osf.io/nr7d9/,https://osf.io/68m2c/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,interaction,"F(1, 242) = 10.47",<.01,246,768703,22,77,Dynamics of self-regulation: How (un) accomplished goal actions affect motivation.
Reproducibility Project,23,Ps in one-sided focus condition exhibited less ambivalence than participants in two-sided focus condition. ,"Henderson, de Liver et al. (2008) Study 5",η²(N=46) = .135,η²(N=70) = .048,Lane & Gazarian (2015),unsuccessful,,Social,,,,,,https://osf.io/79dey/,https://osf.io/79dey/,https://osf.io/cjr7d/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,main effect,"F(2, 43) = 3.36",<.05,46,70,23,80,The effects of an implemental mind-set on attitude strength.
Reproducibility Project,24,"Ps in perpetrator condition reported higher need for social acceptance and reconciliation after moral acceptance was restored, whereas Ps in victim condition reported higher need for power and reconciliation after sense of power was restored (message x role interaction in after condition). ",Shnabel & Nadler (2008) Study 4,η²(N=94) = .07,η²(N=141) = .010,E. Gilbert (2015),unsuccessful,,Social,,,,,,https://osf.io/xse7q/,https://osf.io/xse7q/,https://osf.io/fuj2c/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,between ANOVA,interaction,"F(1, 90) = 6.98",<.05,94,141,24,81,A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.
Reproducibility Project,25,"Composite ratings of perceived power and leadership positively correlated with company profits, even after controlling for CEO age, CEO attractiveness, and affect CEOs displayed in photo. ",Rule & Ambady (2008) Study 1,r(N=50) = +.30,r(N=50) = +.27,"Talhelm, Eggleston, & Lee (2015b)",unsuccessful,,Social,,,,,,https://osf.io/r5gpv/,https://osf.io/r5gpv/,https://osf.io/4peq6/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,partial correlation,correlation,r(41) = .30,<.05,50,50,25,82,The face of success: inferences from chief executive officers' appearance predict company profits.
Reproducibility Project,26,"Decision-makers prefer inconsistent information when choosing between two pieces of information (one consistent, one inconsistent), but prefer consistent information when choosing between more pieces of information (interaction between information quality and information selection). ","Fischer, Schulz-Hardt et al. (2008) Study 4",d(N=52) = +1.17,d(N=150) = +.46,Ratliff (2015),successful,,Social,,,,,,https://osf.io/v8vft/,https://osf.io/v8vft/,https://osf.io/5afur/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,Pearson's Chi-squared test,interaction,"X^2(1, N=52) = 13.18",0.001,52,150,26,84,Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.
Reproducibility Project,27,Ps whose self-regulation resources depleted exhibited increased biases in confirmatory information processing compared to non-depleted and ego-threatened condition Ps ,"Fischer, Greitemeyer et al. (2008) Study 2",η²(N=85) = .09,η²(N=140) = .03,Galliani (2015),unsuccessful,,Social,,,,,,https://osf.io/j8bpa/,https://osf.io/j8bpa/,https://osf.io/9pnct/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,between ANOVA,main effect,"F(2, 82) = 4.05",0.02,85,140,27,86,Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.
Reproducibility Project,28,"When learning goals absent, Ps sat closer to each other when they discussed love and relationships compared to when they discussed racial profiling. ","Goff, Steele et al. (2008) Study 4",η²(N=55) = .16,η²(N=51) = .002,"Kelso, Gampa, Wright et al. (2015)",unsuccessful,,Social,,,,,,https://osf.io/abxcj/,https://osf.io/abxcj/,https://osf.io/7q5us/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,between ANOVA,interaction,"F(1, 51) = 9.46",<.01,55,51,28,87,The space between us: Stereotype threat and distance in interracial contexts.
Reproducibility Project,29,Perceived earning prospects significantly positively predicted romantic interest in speed-dating situation for both men and women (absence of evidence for interaction effect). ,Eastwick & Finkel (2008) Study 1,r(N=163) = +.04,r(N=304) = +.01,"Selterman, Chagnon et al. (2015)",successful,,Social,,,,,,https://osf.io/ng6cc/,https://osf.io/ng6cc/,https://osf.io/5pjsn/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,Meta-analytic summary of interaction effects in 14 multilevel models,interaction,t(26) = 0.72,0.48,163,304,29,89,Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?
Reproducibility Project,30,"When primed with approach goals, low self-esteem Ps in partner criticism condition believed their partner regarded them significantly more negatively than did controls. ","Murray, Derrick et al. (2008) Study 8",sr²(N=91) = +.07,beta(N=76) = -.231,"Sinclair, Goldberg et al. (2015)",unsuccessful,,Social,,,,,,https://osf.io/cxmf6/,https://osf.io/cxmf6/,https://osf.io/3hndq/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,hierarchical regression analyses,interaction,t(83) = 3.05,<.01,91,76,30,93,Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.
Reproducibility Project,31,Self-handicap condition Ps performed worse on mathematical questions task than control condition Ps. ,McCrea (2008) Study 5,d(N=28) = +.736,d(N=61) = +.197,Chartier (2015),successful,,Social,,,,,,https://osf.io/mua6d/,https://osf.io/mua6d/,https://osf.io/ytxgr/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,independent samples t-test,main effect,t(26) = 1.87,<.05,28,61,31,94,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation."
Reproducibility Project,32,"Among Black, but not White professionals, high (compared to low) fairness cue lowered expectations of threatening identity contingencies and increased trust. ",Purdie-Vaughns  et al. (2008) Study 2,η²(N=90) = .143,η²(N=1490) = .001,Schmidt (2015),unsuccessful,,Social,,,,,,https://osf.io/etg7c/,https://osf.io/etg7c/,https://osf.io/3rxvs/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,interaction,"F(1, 73) = 12.19",0.001,90,1490,32,97,Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.
Reproducibility Project,33,"Conceptually-fluent primed Ps reported increased preference for concrete descriptions of the prime later, compared to conceptually-disfluent primed Ps. ",Alter & Oppenheimer (2008) Study 2,Φ (phi)(N=236) = .13,Φ (phi)(N=1146) = .02,Foster (2015),unsuccessful,,Social,,,,,,https://osf.io/kegmc/,https://osf.io/kegmc/,https://osf.io/jym7h/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,Pearson's Chi-squared test,main effect,"X^2(1, N=236) = 3.83",0.05,236,1146,33,104,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle)."
Reproducibility Project,34,Goal primed Ps learned more on an incidental-learning task (serial reaction time task; SRT) than control-group Ps. ,"Eitam, Hassin et al. (2008) Study 2",d(N=86) = +.45,d(N=158) = -.21,Prenoveau & Kirkhart (2015),unsuccessful,,Social,,,,,,https://osf.io/edcr7/,https://osf.io/edcr7/,https://osf.io/x75fq/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,independent samples t-test,main effect,t(84) = 2.09,prep = .92,86,158,34,107,Nonconscious goal pursuit in novel environments: The case of implicit learning.
Reproducibility Project,35,Male Ps exhibited less sensitivity in distinguishing friendliness versus sexual interest compared to women (supporting a male perceptual insensitivity account). ,"Farris, Treat et al. (2008) Study 1",η²(N=280) = .326,η²(N=144) = .008,"Attwood, Easey, & Munafo (2015)",unsuccessful,,Social,,,,,,https://osf.io/7dyp5/,https://osf.io/7dyp5/,https://osf.io/5u4km/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,general linear model,interaction,"F(1, 278) = 123.38",<.001,280,144,35,110,Perceptual mechanisms that characterize gender differences in decoding women's sexual intent
Reproducibility Project,36,"Among accurate, optimistic, or pessimistic predictions, Ps most likely to recommend optimistic predictions. ","Armor, Massey et al. (2008) Study 1",d(N=125) = +.93,d(N=177) = +1.18,"Lassetter, Brandt et al. (2015)",successful,,Social,,,,,,https://osf.io/qlzap/,https://osf.io/qlzap/,https://osf.io/8u5v2/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,single sample t-test,main effect,t(124) =10.36,prep > .99,125,177,36,113,Prescribed optimism: Is it right to be wrong about the future?
Reproducibility Project,37,"Older adults produced fewer internal details, but more external details compared to young adults. ","Addis, Wong et al. (2008) Study 1",η²(N=32)= .326,η²(N=32) = .426,Vasquez (2015),successful,,Social,,,,,,https://osf.io/yaeu7/,https://osf.io/yaeu7/,https://osf.io/9ayxi/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,main effect,"F(1,30) = 14.49",prep = .99,32,32,37,114,Age-related changes in the episodic simulation of future events
Reproducibility Project,38,"Ps in depletion/placebo group exhibited larger attraction effect compared to Ps in other three conditions (depletion with sugar, no depletion with sugar, no depletion with placebo). ",Masicampo & Baumeister (2008) Study 1,η²(N=115) = .045,η²(N=166) = .002,"Osborne, Vuu, & Henninger (2015)",unsuccessful,,Social,,,,,,https://osf.io/3h29d/,https://osf.io/3h29d/,https://osf.io/897ew/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,focused interaction contrast,"F(1, 111) = 5.311",prep = .92,115,166,38,118,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis."
Reproducibility Project,39,Startle response magnitude following an error negatively correlated to Error-Related Negativity (ERN) amplitude. ,Hajcak & Foti (2008) Study 1,r(N=31) = -.38,r(N=43) = -.25,Lewis & Pitts (2015),unsuccessful,,Social,,,,,,https://osf.io/73pnd/,https://osf.io/73pnd/,https://osf.io/82bwv/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,zero-order correlation,correlation,r = -.38,<.05,31,43,39,120,Errors Are Aversive: Defensive Motivation and the Error-Related Negativity
Reproducibility Project,40,Accepting unfair offers increased activation in right ventrolateral prefrontal cortex compared to baseline ,"Tabibnia, Satpute et al. (2008) Study 2",d(N=12) = +3.25,d(N=24) = +2.22,"Beer, Rigney, & Flagan (2015)",successful,,Social,,,,,,https://osf.io/94j6h/,https://osf.io/94j6h/,https://osf.io/nxp9w/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,dependent samples t-test,main effect,t(11) = 5.39,prep = .99,12,24,40,121,The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)
Reproducibility Project,41,Male Ps whose faith in economic system was threatened reported greater romantic interest in women who embody (versus did not embody) benevolent sexist ideals ,"Lau, Kay & Spencer (2008) Study 1",η²(N=36) = .147,η²(N=70) = .001,Stieger (2015),unsuccessful,,Social,,,,,,https://osf.io/fxqsk/,https://osf.io/fxqsk/,https://osf.io/42hgf/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,interaction,"F(1, 34) = 5.89",prep = .93,36,70,41,124,Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.
Reproducibility Project,42,"Ps with high ""external motivation"" (EM) to be non-prejudiced exhibited attentional biases for neutral, but not happy Black faces. ",Richeson & Trawalter (2008) Study 1,d(N=28) = +.80,η²(N=66) = .00,Lai (2015),unsuccessful,,Social,,,,,,https://osf.io/c5fza/,https://osf.io/c5fza/,https://osf.io/phwi4/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,mixed ANOVA,interaction,"F(1, 26) = 4.17",prep = .92,28,66,42,129,The threat of appearing prejudiced and race-based attentional biases.
