rep.num,original.study.number,original.effect.size,replication.effect.size,replication.study.number,outcome,target.effect,rep.effort.type,IVs,DVs,replication.type,replication.method.differences,replication.positive.control.evidence,other.outcomes,discipline,rep.num.in.set,original.study.article.URL,replication.study.article.URL,replication.open.data.URL,replication.open.materials.URL,replication.pre.reg.URL,original.open.data.URL,original.open.materials.URL,original.pre.reg.URL,effect.description,design,statistical.effect.type,original.test.statistic,original.pvalue,original.N,replication.N,outcome.bayesian,study.order.CS,RPP.study.number,original.article.title
12,Lemay & Clark (2008b) Study 5,level 1 R²(N=153) = .68,b(N=216) = .72,"Marigold, Forest et al. (2015)",successful,head liberates heart effect,Replicability Project,,,very close,,,,social,12,https://pdfs.semanticscholar.org/7b10/2f1d04ba874821f66569d41683070b783bd5.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/h84qd/,https://osf.io/h84qd/,https://osf.io/mv3i7/,,,,Ps own responsiveness was a significant predictor of their perception of their partners' responsiveness. ,multilevel model,regression,b = .68,<.001,153,216,,12,59,How the head liberates the heart: Projection of communal responsiveness guides relationship promotion.
13,Ersner-Hershfield et al. (2008) Study 2,d(N=110) = +.45,d(N=222) = -.01,"Talhelm, Eggleston, & Lee (2015a)",unsuccessful,poignancy effect,Replicability Project,,,very close,,,,social,13,https://pdfs.semanticscholar.org/72a0/2b6869a1330a4090a9ddfb21674c6a0e21fe.pdf?_ga=2.139570293.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/sq8k9/,https://osf.io/sq8k9/,https://osf.io/fw6hv/,,,,Ps (college seniors) reminded they were experiencing their last day as students at graduation reported fewer mixed emotions than Ps not reminded. ,independent-samples t-test,main effect,t(108) = -2.34,<.05,110,222,,13,61,Poignancy: Mixed emotional experience in the face of meaningful endings.
14,Correll (2008) Study 2,d(N=71) = +.59 ± .51,d(N=148) = +.16 ± .34,LeBel (2015) Study 1,unsuccessful,modulation of 1/f noise racial bias emission effect,Replicability Project,avoid/use race information vs. control instructions,1/f noise (weapon identification task),very close,Canadian rather than US undergraduates; keyboard used instead of response box;,Racial bias (in terms of RT) higher in use and avoid race (compared to control) conditions (d = .34 ± .35); 1/f noise observed within each of the 3 conditions (p<.0001),,social,14,https://github.com/eplebel/science-commons/blob/master/curated/correll(2008).pdf,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/fejxb/,https://osf.io/fejxb/,https://osf.io/hzka3/,,,,Ps in use-race or avoid-race instruction conditions exhibited less 1/f noise (as reflected in PSD slopes) on WIT than Ps in a control condition. ,between ANOVA using planned orthogonal contrasts,contrast,"F(1, 68) = 5.52",<.02,71,148,,14,63,1/f noise and effort on implicit measures of bias.
15,"Forster, Liberman et al. (2008) Study 1",η²(N=82) = .362,η²(N=71) = .026,Reinhard (2015),unsuccessful,aggression priming perceptual effect,Replicability Project,,,very close,,,,social,15,https://pdfs.semanticscholar.org/4643/46b57725371f6d93e625699667ad784cb3bd.pdf?_ga=2.197004522.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/mxryb/,https://osf.io/mxryb/,https://osf.io/sxnu6/,,,,Aggression priming increased perceptions of aggression (assimilation effect) among Ps whose processing style induced to be global (or control) whereas it decreased perceptions of aggression (contrast affect) among Ps whose processing style induced to be local. ,ANOVA,interaction,"F(2, 76) = 21.57",<.0001,82,71,,15,64,The effect of global versus local processing styles on assimilation versus contrast in social judgment.
16,"Exline, Baumeister et al. (2008) Study 7",η²(N=45) = .186,η²(N=135) = .001,Lin & Frank (2015),unsuccessful,not so innocent effect,Replicability Project,,,very close,,,,social,16,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/imrx2/,https://osf.io/imrx2/,https://osf.io/es7ub/,,,,Subtly asking Ps questions about their empathic understanding and capability of exhibiting similar transgressions reduced male (but not female) Ps' feelings of vengefulness. ,ANOVA,interaction,"F(1, 41) = 9.40",<.01,45,135,,16,65,Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?
17,Risen & Gilovich (2008) Study 6,η²(N=122) = .035,η²(N=226) = .000,Mathur & Frank (2015),unsuccessful,tempting fate effect,Replicability Project,,,very close,,,,social,17,https://pdfs.semanticscholar.org/d828/30e4f7686ca44031a62d002bb9349ce6d5be.pdf?_ga=2.160491515.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/sg3su/,https://osf.io/sg3su/,https://osf.io/nwua6/,,,,Tempting fate effect (tempting fate increases perceived likelihood of negative outcomes) amplified under cognitive load compared to a control condition. ,ANOVA,interaction,"F(1, 116) = 4.15",<.05,122,226,,17,68,Why people are reluctant to tempt fate.
18,Tracy & Robins (2008) Study 4,Av. Proportion(N=211) = .78,Av. proportion(N=333) = .77,Sullivan (2015),successful,cross-cultural nonverbal pride expression effect,Replicability Project,,,very close,,,,social,18,https://pdfs.semanticscholar.org/2acf/75b16de98f1e49b8d62dcaddc0e8193488f8.pdf?_ga=2.233351384.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/qthf2/,https://osf.io/qthf2/,https://osf.io/9uqxr/,,,,"Ps recognized conveyed emotions as pride at an above chance level, no matter what culture target represented. ",binomial test,binomial test,X,<.05,211,333,,18,69,The nonverbal expression of pride: Evidence for cross-cultural recognition.
19,Stanovich & West (2008) Study 8,d(N=375) = +.493,d(N=177) = +.15,Baranski (2015),unsuccessful,Wason task performance and cognitive ability correlation,Replicability Project,,,very close,,,,social,19,https://pdfs.semanticscholar.org/372b/31dd367450ee278ebc6bfe2d50287f893c7d.pdf?_ga=2.233351384.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/7ux8p/,https://osf.io/7ux8p/,https://osf.io/p3gz2/,,,,Ps correctly answering Wason's four-card selection task exhibited higher cognitive ability (SAT scores) than Ps answering card task incorrectly. ,independent samples t-test,main effect,t(373) = 4.40,<.001,375,177,,19,71,On the relative independence of thinking biases and cognitive ability.
20,Blankenship & Wegener (2008) Study 5a,η²(N=261) = .042,η²(N=251) = .002,Lemm (2015),unsuccessful,closed open mind effect,Replicability Project,,,very close,,,,social,20,https://pdfs.semanticscholar.org/f853/aa287ee48bcfcfcc1f807fa10faeccc04d0f.pdf?_ga=2.233351384.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/2gx4k/,https://osf.io/2gx4k/,https://osf.io/v3e2z/,,,,"Strong arguments more persuasive than weak arguments among Ps forced to focus on important values in the messages, but no argument strength effect among Ps forced to focus on unimportant values. ",ANOVA,interaction,"F(1, 257) = 11.58",0.002,261,251,,20,72,Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.
21,Morrison & Miller (2008) Study 3,Φ (phi)(N=37) = .32,Φ (phi)(N=120) = .20,Motyl (2015),successful,descriptive deviant popularity effect,Replicability Project,,,very close,,,,social,21,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/nhwv5/,https://osf.io/nhwv5/,https://osf.io/2jwi6/,,,,Bumper stickers of descriptive deviants rated as more popular than bumper stickers of prescriptive deviants. ,Pearson's Chi-squared test,main effect,"X^2(1, N=37) = 3.85",<.05,37,120,,21,73,Distinguishing between silent and vocal minorities: Not all deviants feel marginal.
22,Koo & Fishbach (2008) Study 4,η²(N=246) = .041,OR(N=768703) = .159,Kidwell & Dodson (2015),unsuccessful,(un)accomplished goal action effect,Replicability Project,,,very close,,,,social,22,https://pdfs.semanticscholar.org/430d/1ea2b5233cb303dfa5eb39d8e67bd5c84e42.pdf?_ga=2.228124123.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/nr7d9/,https://osf.io/nr7d9/,https://osf.io/68m2c/,,,,"Increased donations to HIV/AIDS initiative when emphasizing ""to-date"" information among Ps who hadn't yet donated, but emphasizing ""to-go"" information among Ps who had. ",ANOVA,interaction,"F(1, 242) = 10.47",<.01,246,768703,,22,77,Dynamics of self-regulation: How (un) accomplished goal actions affect motivation.
23,"Henderson, de Liver et al. (2008) Study 5",η²(N=46) = .135,η²(N=70) = .048,Lane & Gazarian (2015),unsuccessful,implemental mind-set attitude strength effect,Replicability Project,,,very close,,,,social,23,https://pdfs.semanticscholar.org/aa89/13651dae184a14a3186c74a9570b80a9ce1a.pdf?_ga=2.38709349.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/79dey/,https://osf.io/79dey/,https://osf.io/cjr7d/,,,,Ps in one-sided focus condition exhibited less ambivalence than participants in two-sided focus condition. ,ANOVA,main effect,"F(2, 43) = 3.36",<.05,46,70,,23,80,The effects of an implemental mind-set on attitude strength.
24,Shnabel & Nadler (2008) Study 4,η²(N=94) = .07,η²(N=141) = .010,E. Gilbert (2015),unsuccessful,need for acceptance reconcialiation effect,Replicability Project,,,very close,,,,social,24,https://pdfs.semanticscholar.org/9e10/97af99a1b9d8e2e178170bf700feed1fd1d8.pdf?_ga=2.38709349.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/xse7q/,https://osf.io/xse7q/,https://osf.io/fuj2c/,,,,"Ps in perpetrator condition reported higher need for social acceptance and reconciliation after moral acceptance was restored, whereas Ps in victim condition reported higher need for power and reconciliation after sense of power was restored.",between ANOVA,interaction,"F(1, 90) = 6.98",<.05,94,141,,24,81,A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.
25,Rule & Ambady (2008) Study 1,r(N=50) = +.30,r(N=50) = +.27,"Talhelm, Eggleston, & Lee (2015b)",unsuccessful,face of success effect,Replicability Project,,,very close,,,,social,25,https://pdfs.semanticscholar.org/71d5/3c7980b9561ffd56e6012b2bbb6685209df3.pdf?_ga=2.38709349.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/r5gpv/,https://osf.io/r5gpv/,https://osf.io/4peq6/,,,,"Composite ratings of perceived power and leadership positively correlated with company profits, even after controlling for CEO age, CEO attractiveness, and affect CEOs displayed in photo. ",partial correlation,correlation,r(41) = .30,<.05,50,50,,25,82,The face of success: inferences from chief executive officers' appearance predict company profits.
26,"Fischer, Schulz-Hardt et al. (2008) Study 4",d(N=52) = +1.17,d(N=150) = +.46,Ratliff (2015),successful,selective exposure information quantity effect,Replicability Project,,,very close,,,,social,26,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/v8vft/,https://osf.io/v8vft/,https://osf.io/5afur/,,,,"Decision-makers prefer inconsistent information when choosing between two pieces of information, but prefer consistent information when choosing between more pieces of information. ",Pearson's Chi-squared test,interaction,"X^2(1, N=52) = 13.18",0.001,52,150,,26,84,Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.
27,"Fischer, Greitemeyer et al. (2008) Study 2",η²(N=85) = .09,η²(N=140) = .03,Galliani (2015),unsuccessful,ego depletion confirmatory bias effect,Replicability Project,,,very close,,,,social,27,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/j8bpa/,https://osf.io/j8bpa/,https://osf.io/9pnct/,,,,Ps whose self-regulation resources depleted exhibited increased biases in confirmatory information processing compared to non-depleted and ego-threatened condition Ps ,between ANOVA,main effect,"F(2, 82) = 4.05",0.02,85,140,,27,86,Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.
28,"Goff, Steele et al. (2008) Study 4",η²(N=55) = .16,η²(N=51) = .002,"Kelso, Gampa, Wright et al. (2015)",unsuccessful,stereotype threat interaction distance effect,Replicability Project,,,very close,,,,social,28,https://pdfs.semanticscholar.org/e2d7/50c087773d3d19b488007b16e70aef0a1ce4.pdf?_ga=2.159777915.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/abxcj/,https://osf.io/abxcj/,https://osf.io/7q5us/,,,,"When learning goals absent, Ps sat closer to each other when they discussed love and relationships compared to when they discussed racial profiling. ",between ANOVA,interaction,"F(1, 51) = 9.46",<.01,55,51,,28,87,The space between us: Stereotype threat and distance in interracial contexts.
29,Eastwick & Finkel (2008) Study 1,r(N=163) = +.04,r(N=304) = +.01,"Selterman, Chagnon et al. (2015)",successful,generalized earning prospect predicts romantic interest effect,Replicability Project,,,very close,,,,social,29,https://pdfs.semanticscholar.org/ec64/e26322c7fdbf9e54981a07693974423f3031.pdf?_ga=2.159777915.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/ng6cc/,https://osf.io/ng6cc/,https://osf.io/5pjsn/,,,,Perceived earning prospects significantly positively predicted romantic interest in speed-dating situation for both men and women (absence of evidence for interaction effect). ,Meta-analytic summary of interaction effects in 14 multilevel models,interaction,t(26) = 0.72,0.48,163,304,,29,89,Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?
30,"Murray, Derrick et al. (2008) Study 8",sr²(N=91) = +.07,beta(N=76) = -.231,"Sinclair, Goldberg et al. (2015)",unsuccessful,approach priming partner criticism effect,Replicability Project,,,very close,,,,social,30,https://www.researchgate.net/profile/Jaye_Derrick/publication/5568464_Balancing_Connectedness_and_Self-Protection_Goals_in_Close_Relationships_A_Levels-of-Processing_Perspective_on_Risk_Regulation/links/0912f50eb380ee6584000000.pdf,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/cxmf6/,https://osf.io/cxmf6/,https://osf.io/3hndq/,,,,"When primed with approach goals, low self-esteem Ps in partner criticism condition believed their partner regarded them significantly more negatively than did controls. ",hierarchical regression analyses,interaction,t(83) = 3.05,<.01,91,76,,30,93,Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.
31,McCrea (2008) Study 5,d(N=28) = +.736,d(N=61) = +.197,Chartier (2015),successful,math self-handicapping effect,Replicability Project,,,very close,,,,social,31,https://pdfs.semanticscholar.org/1724/262903b5e1164bf55c1bf263d05761516b68.pdf?_ga=2.159777915.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/mua6d/,https://osf.io/mua6d/,https://osf.io/ytxgr/,,,,Self-handicap condition Ps performed worse on mathematical questions task than control condition Ps. ,independent samples t-test,main effect,t(26) = 1.87,<.05,28,61,,31,94,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation."
32,Purdie-Vaughns  et al. (2008) Study 2,η²(N=90) = .143,η²(N=1490) = .001,Schmidt (2015),unsuccessful,social identity contingencies effect,Replicability Project,,,very close,,,,social,32,https://pdfs.semanticscholar.org/95f9/403e6b658714ddfdca17ac94b5274cf8f81f.pdf?_ga=2.128443466.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/etg7c/,https://osf.io/etg7c/,https://osf.io/3rxvs/,,,,"Among Black, but not White professionals, high (compared to low) fairness cue lowered expectations of threatening identity contingencies and increased trust. ",ANOVA,interaction,"F(1, 73) = 12.19",0.001,90,1490,,32,97,social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.
33,Alter & Oppenheimer (2008) Study 2,Φ (phi)(N=236) = .13,Φ (phi)(N=1146) = .02,Foster (2015),unsuccessful,fluency priming on psychological distance effect,Replicability Project,,,very close,,,,social,33,https://pdfs.semanticscholar.org/75b8/524267afcc74aa0d317689c8b6d28bb3d3f0.pdf?_ga=2.128443466.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/kegmc/,https://osf.io/kegmc/,https://osf.io/jym7h/,,,,"Conceptually-fluent primed Ps reported increased preference for concrete descriptions of the prime later, compared to conceptually-disfluent primed Ps. ",Pearson's Chi-squared test,main effect,"X^2(1, N=236) = 3.83",0.05,236,1146,,33,104,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle)."
34,"Eitam, Hassin et al. (2008) Study 2",d(N=86) = +.45,d(N=158) = -.21,Prenoveau & Kirkhart (2015),unsuccessful,goal priming boosts learning effect,Replicability Project,,,very close,,,,social,34,http://pluto.mscc.huji.ac.il/~mschul/yaacov_schul_files/2008-eitam%26hassin%26schul-psych-science.pdf,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/edcr7/,https://osf.io/edcr7/,https://osf.io/x75fq/,,,,Goal primed Ps learned more on an incidental-learning task (serial reaction time task; SRT) than control-group Ps. ,independent samples t-test,main effect,t(84) = 2.09,prep = .92,86,158,,34,107,Nonconscious goal pursuit in novel environments: The case of implicit learning.
