target.effect,orig.study.number,rep.study.number,orig.N,orig.ES.type,orig.ES,orig.ES.CI,rep.N,rep.ES.type,rep.ES,rep.ES.CI,rep.outcome,IVs,DVs,rep.type,rep.effort.type,rep.method.differences,rep.active.sample.evidence,other.outcomes,ES.description,EC.URL,orig.study.article.URL,orig.study.article.DOI,rep.study.article.URL,rep.pre.reg.URL,rep.open.materials.URL,rep.open.data.URL,orig.open.data.URL,orig.open.materials.URL,orig.pre.reg.URL,rep.population,discipline,orig.study.pub.year,reporting.standard.used,effect.description,design,statistical.effect.type,orig.test.statistic,orig.pvalue,rep.outcome.bayesian,orig.article.title,RPP.orig.untransformed.ES,RPP.rep.untransformed.ES,RPP.interpretation,RPP.study.number,study.order.CS,rep.num.in.set,social.priming,include.in.HTML.table,rep.num
aggression priming perceptual effect,"Forster, Liberman et al. (2008) Study 1",Reinhard (2015),82,r,.43,.18,71,r,.11,.24,no signal - inconsistent (imprecise),,,very close,RPP #15,,,,,,https://pdfs.semanticscholar.org/4643/46b57725371f6d93e625699667ad784cb3bd.pdf?_ga=2.197004522.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.4.579,https://osf.io/sxnu6/,,https://osf.io/mxryb/,https://osf.io/mxryb/,,,,,social,2008,,Aggression priming increased perceptions of aggression (assimilation effect) among Ps whose processing style induced to be global (or control) whereas it decreased perceptions of aggression (contrast effect) among Ps whose processing style induced to be local.,ANOVA,interaction,"F(2, 76) = 21.57",<.0001,,The effect of global versus local processing styles on assimilation versus contrast in social judgment.,η²(N=82) = .362,η²(N=71) = .026,unsuccessful,64,15,15,,yes,15
not so innocent effect,"Exline, Baumeister et al. (2008) Study 7",Lin & Frank (2015),45,r,.43,.25,135,r,.01,.17,no signal - inconsistent,,,very close,RPP #16,,,,,,,,https://osf.io/es7ub/,,https://osf.io/imrx2/,https://osf.io/imrx2/,,,,,social,2008,,Subtly asking Ps questions about their empathic understanding and capability of exhibiting similar transgressions reduced male (but not female) Ps' feelings of vengefulness.,ANOVA,interaction,"F(1, 41) = 9.40",<.01,,Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?,η²(N=45) = .186,η²(N=135) = .001,unsuccessful,65,16,16,,yes,16
tempting fate effect,Risen & Gilovich (2008) Study 6,Mathur & Frank (2015),122,r,.19,.17,226,r,.00,.13,no signal - inconsistent,,,very close,RPP #17,,,,,,https://pdfs.semanticscholar.org/d828/30e4f7686ca44031a62d002bb9349ce6d5be.pdf?_ga=2.160491515.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.95.2.293,https://osf.io/nwua6/,,https://osf.io/sg3su/,https://osf.io/sg3su/,,,,,social,2008,,Tempting fate effect (tempting fate increases perceived likelihood of negative outcomes) amplified under cognitive load compared to a control condition.,ANOVA,interaction,"F(1, 116) = 4.15",<.05,,Why people are reluctant to tempt fate.,η²(N=122) = .035,η²(N=226) = .000,unsuccessful,68,17,17,,yes,17
cross-cultural nonverbal pride expression effect,Tracy & Robins (2008) Study 4,Sullivan (2015),211,Propor,.78,,333,Propor,.77,,signal - consistent,,,very close,RPP #18,,,,,,https://pdfs.semanticscholar.org/2acf/75b16de98f1e49b8d62dcaddc0e8193488f8.pdf?_ga=2.233351384.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.3.516,https://osf.io/9uqxr/,,https://osf.io/qthf2/,https://osf.io/qthf2/,,,,,social,2008,,"Ps recognized conveyed emotions as pride at an above chance level, no matter what culture target represented. ",binomial test,binomial test,X,<.05,,The nonverbal expression of pride: Evidence for cross-cultural recognition.,Av. Proportion(N=211) = .78,Av. proportion(N=333) = .77,successful,69,18,18,,yes,18
Wason task performance and cognitive ability correlation,Stanovich & West (2008) Study 8,Baranski (2015),375,r,.22,.10,177,r,.07,.15,no signal - consistent (imprecise),,,very close,RPP #19,,,,,,https://pdfs.semanticscholar.org/372b/31dd367450ee278ebc6bfe2d50287f893c7d.pdf?_ga=2.233351384.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.4.672,https://osf.io/p3gz2/,,https://osf.io/7ux8p/,https://osf.io/7ux8p/,,,,,social,2008,,Ps correctly answering Wason's four-card selection task exhibited higher cognitive ability (SAT scores) than Ps answering card task incorrectly.,independent samples t-test,main effect,t(373) = 4.40,<.001,,On the relative independence of thinking biases and cognitive ability.,d(N=375) = +.493,d(N=177) = +.15,unsuccessful,71,19,19,,yes,19
closed open mind effect,Blankenship & Wegener (2008) Study 5a,Lemm (2015),261,r,.21,.12,251,r,.04,.12,no signal - inconsistent,,,very close,RPP #20,,,,,,https://pdfs.semanticscholar.org/f853/aa287ee48bcfcfcc1f807fa10faeccc04d0f.pdf?_ga=2.233351384.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.2.94.2.196,https://osf.io/v3e2z/,,https://osf.io/2gx4k/,https://osf.io/2gx4k/,,,,,social,2008,,"Strong arguments more persuasive than weak arguments among Ps forced to focus on important values in the messages, but no argument strength effect among Ps forced to focus on unimportant values. ",ANOVA,interaction,"F(1, 257) = 11.58",0.002,,Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.,η²(N=261) = .042,η²(N=251) = .002,unsuccessful,72,20,20,,yes,20
descriptive deviant popularity effect,Morrison & Miller (2008) Study 3,Motyl (2015),37,r,.32,.30,120,r,.20,.18,signal - consistent,,,very close,RPP #21,,,,,,,,https://osf.io/2jwi6/,,https://osf.io/nhwv5/,https://osf.io/nhwv5/,,,,,social,2008,,Bumper stickers of descriptive deviants rated as more popular than bumper stickers of prescriptive deviants.,Pearson's Chi-squared test,main effect,"X^2(1, N=37) = 3.85",<.05,,Distinguishing between silent and vocal minorities: Not all deviants feel marginal.,Φ (phi)(N=37) = .32,Φ (phi)(N=120) = .20,successful,73,21,21,,yes,21
(un)accomplished goal action effect,Koo & Fishbach (2008) Study 4,Kidwell & Dodson (2015),246,η²,.041,,768703,OR,.159,,no signal,,,very close,RPP #22,,,,,,https://pdfs.semanticscholar.org/430d/1ea2b5233cb303dfa5eb39d8e67bd5c84e42.pdf?_ga=2.228124123.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.2.183,https://osf.io/68m2c/,,https://osf.io/nr7d9/,https://osf.io/nr7d9/,,,,,social,2008,,"Increased donations to HIV/AIDS initiative when emphasizing ""to-date"" information among Ps who hadn't yet donated, but emphasizing ""to-go"" information among Ps who had. ",ANOVA,interaction,"F(1, 242) = 10.47",<.01,,Dynamics of self-regulation: How (un) accomplished goal actions affect motivation.,η²(N=246) = .041,OR(N=768703) = .159,unsuccessful,77,22,22,,yes,22
implemental mind-set attitude strength effect,"Henderson, de Liver et al. (2008) Study 5",Lane & Gazarian (2015),46,r,.26,.28,70,r,.16,.24,no signal - consistent,,,very close,RPP #23,,,,,,https://pdfs.semanticscholar.org/aa89/13651dae184a14a3186c74a9570b80a9ce1a.pdf?_ga=2.38709349.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.3.396,https://osf.io/cjr7d/,,https://osf.io/79dey/,https://osf.io/79dey/,,,,,social,2008,,Ps in one-sided focus condition exhibited less ambivalence than participants in two-sided focus condition.,ANOVA,main effect,"F(2, 43) = 3.36",<.05,,The effects of an implemental mind-set on attitude strength.,η²(N=46) = .135,η²(N=70) = .048,unsuccessful,80,23,23,,yes,23
need for acceptance reconcialiation effect,Shnabel & Nadler (2008) Study 4,E. Gilbert (2015),94,r,.27,.19,141,r,-.10,.16,no signal - inconsistent,,,very close,RPP #24,,,,,,https://pdfs.semanticscholar.org/9e10/97af99a1b9d8e2e178170bf700feed1fd1d8.pdf?_ga=2.38709349.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.1.116,https://osf.io/fuj2c/,,https://osf.io/xse7q/,https://osf.io/xse7q/,,,,,social,2008,,"Ps in perpetrator condition reported higher need for social acceptance and reconciliation after moral acceptance was restored, whereas Ps in victim condition reported higher need for power and reconciliation after sense of power was restored.",between ANOVA,interaction,"F(1, 90) = 6.98",<.05,,A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.,η²(N=94) = .07,η²(N=141) = .010,unsuccessful,81,24,24,,yes,24
face of success effect,Rule & Ambady (2008) Study 1,"Talhelm, Eggleston, & Lee (2015b)",50,r,.30,.26,50,r,.27,.27,signal - consistent (imprecise),,,very close,RPP #25,,,,,,https://pdfs.semanticscholar.org/71d5/3c7980b9561ffd56e6012b2bbb6685209df3.pdf?_ga=2.38709349.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02054.x,https://osf.io/4peq6/,,https://osf.io/r5gpv/,https://osf.io/r5gpv/,,,,,social,2008,,"Composite ratings of perceived power and leadership positively correlated with company profits, even after controlling for CEO age, CEO attractiveness, and affect CEOs displayed in photo. ",partial correlation,correlation,r(41) = .30,<.05,,The face of success: inferences from chief executive officers' appearance predict company profits.,r(N=50) = +.30,r(N=50) = +.27,unsuccessful,82,25,25,,yes,25
selective exposure information quantity effect,"Fischer, Schulz-Hardt et al. (2008) Study 4",Ratliff (2015),52,r,.50,.21,150,r,.22,.16,"signal - inconsistent, smaller",,,very close,RPP #26,,,,,,,,https://osf.io/5afur/,,https://osf.io/v8vft/,https://osf.io/v8vft/,,,,,social,2008,,"Decision-makers prefer inconsistent information when choosing between two pieces of information, but prefer consistent information when choosing between more pieces of information. ",Pearson's Chi-squared test,interaction,"X^2(1, N=52) = 13.18",0.001,,Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.,d(N=52) = +1.17,d(N=150) = +.46,successful,84,26,26,,yes,26
ego depletion confirmatory bias effect,"Fischer, Greitemeyer et al. (2008) Study 2",Galliani (2015),85,r,.21,.20,140,r,.12,.16,no signal - consistent,,,very close,RPP #27,,,,,,,,https://osf.io/9pnct/,,https://osf.io/j8bpa/,https://osf.io/j8bpa/,,,,,social,2008,,Ps whose self-regulation resources depleted exhibited increased biases in confirmatory information processing compared to non-depleted and ego-threatened condition Ps,between ANOVA,main effect,"F(2, 82) = 4.05",0.02,,Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.,η²(N=85) = .09,η²(N=140) = .03,unsuccessful,86,27,27,,yes,27
stereotype threat interaction distance effect,"Goff, Steele et al. (2008) Study 4","Kelso, Gampa, Wright et al. (2015)",55,r,.40,.23,51,r,.01,.28,no signal - inconsistent (imprecise),,,very close,RPP #28,,,,,,https://pdfs.semanticscholar.org/e2d7/50c087773d3d19b488007b16e70aef0a1ce4.pdf?_ga=2.159777915.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.1.91,https://osf.io/7q5us/,,https://osf.io/abxcj/,https://osf.io/abxcj/,,,,,social,2008,,"When learning goals absent, Ps sat closer to each other when they discussed love and relationships compared to when they discussed racial profiling. ",between ANOVA,interaction,"F(1, 51) = 9.46",<.01,,The space between us: Stereotype threat and distance in interracial contexts.,η²(N=55) = .16,η²(N=51) = .002,unsuccessful,87,28,28,,yes,28
generalized earning prospect predicts romantic interest effect,Eastwick & Finkel (2008) Study 1,"Selterman, Chagnon et al. (2015)",163,r,.14,.16,304,r,.03,.11,no signal - consistent,,,very close,RPP #29,,,,,,https://pdfs.semanticscholar.org/ec64/e26322c7fdbf9e54981a07693974423f3031.pdf?_ga=2.159777915.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.2.245,https://osf.io/5pjsn/,,https://osf.io/ng6cc/,https://osf.io/ng6cc/,,,,,social,2008,,Perceived earning prospects significantly positively predicted romantic interest in speed-dating situation for both men and women (absence of evidence for interaction effect).,Meta-analytic summary of interaction effects in 14 multilevel models,interaction,t(26) = 0.72,0.48,,Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?,r(N=163) = +.04,r(N=304) = +.01,successful,89,29,29,,yes,29
approach priming partner criticism effect,"Murray, Derrick et al. (2008) Study 8","Sinclair, Goldberg et al. (2015)",91,r,.32,.18,76,r,-.14,.22,no signal - inconsistent (imprecise),,,very close,RPP #30,,,,,,https://www.researchgate.net/profile/Jaye_Derrick/publication/5568464_Balancing_Connectedness_and_Self-Protection_Goals_in_Close_Relationships_A_Levels-of-Processing_Perspective_on_Risk_Regulation/links/0912f50eb380ee6584000000.pdf,10.1037/0022-3514.94.3.429,https://osf.io/3hndq/,,https://osf.io/cxmf6/,https://osf.io/cxmf6/,,,,,social,2008,,"When primed with approach goals, low self-esteem Ps in partner criticism condition believed their partner regarded them significantly more negatively than did controls. ",hierarchical regression analyses,interaction,t(83) = 3.05,<.01,,Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.,sr²(N=91) = +.07,beta(N=76) = -.231,unsuccessful,93,30,30,yes,yes,30
math self-handicapping effect,McCrea (2008) Study 5,Chartier (2015),28,r,.34,.35,61,r,.29,.24,signal - consistent,,,very close,RPP #31,,,,,,https://pdfs.semanticscholar.org/1724/262903b5e1164bf55c1bf263d05761516b68.pdf?_ga=2.159777915.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.95.2.274,https://osf.io/ytxgr/,,https://osf.io/mua6d/,https://osf.io/mua6d/,,,,,social,2008,,Self-handicap condition Ps performed worse on mathematical questions task than control condition Ps.,independent samples t-test,main effect,t(26) = 1.87,<.05,,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",d(N=28) = +.736,d(N=61) = +.197,successful,94,31,31,,yes,31
social identity contingencies effect,Purdie-Vaughns  et al. (2008) Study 2,Schmidt (2015),90,r,.38,.18,1490,r,-.04,.05,no signal - inconsistent,,,very close,RPP #32,,,,,,https://pdfs.semanticscholar.org/95f9/403e6b658714ddfdca17ac94b5274cf8f81f.pdf?_ga=2.128443466.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.4.615,https://osf.io/3rxvs/,,https://osf.io/etg7c/,https://osf.io/etg7c/,,,,,social,2008,,"Among Black, but not White professionals, high (compared to low) fairness cue lowered expectations of threatening identity contingencies and increased trust. ",ANOVA,interaction,"F(1, 73) = 12.19",0.001,,social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.,η²(N=90) = .143,η²(N=1490) = .001,unsuccessful,97,32,32,,yes,32
fluency priming on psychological distance effect,Alter & Oppenheimer (2008) Study 2,Foster (2015),236,r,.13,.12,1146,r,.02,.06,no signal - inconsistent,,,very close,RPP #33,,,,,,https://pdfs.semanticscholar.org/75b8/524267afcc74aa0d317689c8b6d28bb3d3f0.pdf?_ga=2.128443466.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02062.x,https://osf.io/jym7h/,,https://osf.io/kegmc/,https://osf.io/kegmc/,,,,,social,2008,,"Conceptually-fluent primed Ps reported increased preference for concrete descriptions of the prime later, compared to conceptually-disfluent primed Ps. ",Pearson's Chi-squared test,main effect,"X^2(1, N=236) = 3.83",0.05,,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",Φ (phi)(N=236) = .13,Φ (phi)(N=1146) = .02,unsuccessful,104,33,33,yes,yes,33
goal priming boosts learning effect,"Eitam, Hassin et al. (2008) Study 2",Prenoveau & Kirkhart (2015),86,r,.22,.20,158,r,.10,.16,no signal - consistent,,,very close,RPP #34,,,,,,http://pluto.mscc.huji.ac.il/~mschul/yaacov_schul_files/2008-eitam%26hassin%26schul-psych-science.pdf,10.1111/j.1467-9280.2008.02078.x,https://osf.io/x75fq/,,https://osf.io/edcr7/,https://osf.io/edcr7/,,,,,social,2008,,Goal primed Ps learned more on an incidental-learning task (serial reaction time task; SRT) than control-group Ps.,independent samples t-test,main effect,t(84) = 2.09,prep = .92,,Nonconscious goal pursuit in novel environments: The case of implicit learning.,d(N=86) = +.45,d(N=158) = -.21,unsuccessful,107,34,34,yes,yes,34
